id,name,sales
1,Roderick Tregido,170
2,Blanch Gilstoun,296
3,Auguste GiacobbiniJacob,99
4,Sanford Inott,169
5,Ferris Micheau,141
6,Wat Iacomo,249
7,Fernando Murrhaupt,194
8,Josias April,291
9,Hanson Frier,36
10,Joleen Goudard,93
11,Elisabetta Spalton,144
12,Jarrad Fenelon,280
13,Josefa Claybourn,194
14,Codee Paulton,157
15,Verena Peerless,152
16,Gaylene Spacie,189
17,Ludovico Tremollet,50
18,Inger Elgy,92
19,Jozef Waine,4
20,Marjorie Cody,249
21,Tamqrah Bewly,148
22,Clemmy Reubbens,26
23,Susan Marple,12
24,Kerby Toping,28
25,Brenna Worvill,21
26,George Dohmann,8
27,Lancelot Folan,157
28,Rusty McNae,77
29,Orelle Bemment,73
30,Konstance Manoelli,201
31,Hedy McGannon,146
32,Chevalier Dreini,95
33,Sibylla McIlveen,187
34,Marissa Willden,31
35,Carrol Conaboy,145
36,Chloris Gunderson,58
37,Dorolice Wehner,23
38,Hersch Gashion,271
39,Cilka Becconsall,209
40,Saundra Tschursch,275
41,Parsifal Videneev,297
42,Buiron Eddolls,62
43,Sayre Farloe,263
44,Coral Woolf,30
45,Xylina Decroix,59
46,Jarid Lushey,155
47,Ambrosi Clewlow,296
48,Husain Wherrit,94
49,Amata Cowburn,70
50,Tiena Reid,56
51,Blancha Rooms,86
52,Raquel McIlriach,155
53,Cecily Swaisland,114
54,Shanda Forbes,242
55,Emlyn Dominec,280
56,Wilfrid Dun,54
57,Randall Zorzi,19
58,Blondy Veryan,290
59,Koo Palley,104
60,Orelle Guildford,132
61,Tersina Fanning,230
62,Brunhilda McIan,81
63,Derward Screwton,54
64,Oliy Barles,169
65,Afton Astall,282
66,Coreen Duthie,160
67,Karlens Galiero,241
68,Shermy Wellstead,104
69,Sondra Palffy,193
70,Worden Eickhoff,140
71,Annnora Beebe,79
72,Amalita Aspinal,142
73,Cart Doig,2
74,Terrill Kynd,205
75,Lydie Cressar,188
76,Dallon Adlard,220
77,Benjie Edwinson,146
78,Garvy Coulthard,101
79,Martita Dorrell,277
80,Sadie Beames,225
81,Hieronymus Hellin,135
82,Nesta Culpin,277
83,Dennison Esposito,156
84,Dari Ripon,94
85,Russ MacGuffog,104
86,Derrick Seago,85
87,Jaimie Tyas,138
88,Chrisy Godsmark,230
89,Giffie Gleder,213
90,Nerita Hundey,255
91,Merv Mealham,243
92,Margarette Gladbeck,256
93,Wilhelm Starie,188
94,Emlynne Rennolds,38
95,Elora Skoughman,244
96,Bethany MacCosty,152
97,Xymenes Heck,299
98,Lauraine Ashmore,257
99,Caresa Charter,139
100,Mattie Lode,104
